Variable,Parameter,Unit,Minimum,Q1,Median,Mean,Q3,Maximum,SD,Unique Levels
GF_pct,Glass Fiber (%),%,0.0,0.0,0.0,2.062015503875969,0.0,40.0,6.098798470273284,10
Infill_pct,Infill Density (%),%,50.0,100.0,100.0,94.37984496124031,100.0,100.0,13.905481045284834,5
Layer_mm,Layer Thickness (mm),mm,0.02,0.1,0.2,0.20930232558139536,0.3,0.4,0.1115108321988247,7
Nozzle_C,Nozzle Temperature (°C),°C,200.0,230.0,240.0,239.72868217054264,250.0,290.0,17.322200323025008,13
Bed_C,Bed Temperature (°C),°C,25.0,65.0,90.0,83.25581395348837,100.0,110.0,18.346184493379447,9
Speed_mm_s,Printing Speed (mm/s),mm/s,5.0,33.0,60.0,55.713178294573645,90.0,100.0,28.773684211459173,14
