Model,Type,OOF_R2,OOF_RMSE,OOF_MAE,Best_Optuna_CV_RMSE,Completed_Deep_Trials,Development_Rank
Ridge_Stacking,Stacking,0.9997436318408965,0.087160158451912,0.0675088267381739,,,1
Weighted_Ensemble,Ensemble,0.9997398569050482,0.08779951563955264,0.0678172899611881,,,2
MLP,Base,0.9995318598537763,0.11778064054613646,0.08855000728723833,0.13851099451689303,9.0,3
CatBoost,Base,0.9995204670751402,0.11920519549600889,0.09367537995801628,0.11725089989787314,21.0,4
LightGBM,Base,0.997944462741074,0.24680198325941807,0.19441030200749945,0.24410066083941095,14.0,5
XGBoost,Base,0.9976075785609907,0.26625931565747013,0.21088172189891338,0.2609168443238624,19.0,6
GradientBoosting,Base,0.9974550058468845,0.2746182296622157,0.21637953976940602,0.26477012320934146,13.0,7
