Model,Type,OOF_R2,OOF_RMSE,OOF_MAE,Best_Optuna_CV_RMSE,Completed_Deep_Trials,Development_Rank
Ridge_Stacking,Stacking,0.9996958696119723,0.13414429948074383,0.09588845079988254,,,1
Weighted_Ensemble,Ensemble,0.9996821526262277,0.13713604729947268,0.09745747403213328,,,2
MLP,Base,0.9995531611469527,0.16259896545442942,0.11962212963617816,0.18368474821598754,8.0,3
CatBoost,Base,0.9990942123465392,0.2315024076934508,0.17854561686605253,0.22896395714238588,17.0,4
SVR_RBF,Base,0.9980393419634496,0.3405988997980032,0.21744822307386424,0.33976945976579503,10.0,5
XGBoost,Base,0.9968650065114635,0.43068588170904737,0.3301174092292786,0.4405066761965498,20.0,6
GradientBoosting,Base,0.996419016330307,0.46030265946811655,0.3570307831800355,0.4598228030710125,14.0,7
